tweet_text,retweet_count,favorite_count,followers_count,original_tweet_screen_name,retweet_screen_name,original_tweet_created_at,retweet_created_at,retweet_id,original_tweet_id,original_tweet_coordinates,retweet_coordinates,original_tweet_user_id,retweet_user_id,search_id,timestamp,search_string,is_retweet,type,source,in_reply_to_status_id,in_reply_to_screen_name,in_reply_to_user_id,quoted_id,quoted_screen_name,quoted_user_id,quoted_created_at,quoted_coordinates,place_name,place_fullname,place_country,place_cc,place_bb,media,media_url,media_expanded_url
Gente e se eu contar q sonhei q vi bolsonaro e o filho dele na ufes e comecei a gritar “ei bolsonaro vai tomar no cu” ai td mundo viu q ele tava la e gritou junto KKKKKKKK,0,2,386,,renata,2019-05-31 17:15:04,,,1134508604206268422,, ,1081729722575405059,, ,1559322904, ,False,Tweet,Twitter for iPhone,,,,,,,, ,,,,,,,,
"Você está de boa assistindo a tv   e passa o ao vivo das manifestações de hoje   você observa : uma bandeira vermelha gigantesca escrito CUT   umas placas escrito ""Lula Livre"" e todos gritando "" Ei Bolsonaro vai tomar no ..."" Mas não era manifestações pela Educação ? 🤔",122,0,6,KarlaAm29588988,Geovane Oliveira,2019-05-31 16:52:56,2019-05-30 21:38:18,1134212464739004416,1134503035235917824,, ,1130855304072056834,980043477303091200, ,1559321576, ,True,Tweet,Twitter for Android,,,,,,,, ,,,,,,,,
"Você está de boa assistindo a tv   e passa o ao vivo das manifestações de hoje   você observa : uma bandeira vermelha gigantesca escrito CUT   umas placas escrito ""Lula Livre"" e todos gritando "" Ei Bolsonaro vai tomar no ..."" Mas não era manifestações pela Educação ? 🤔",122,0,428,KarlaAm29588988,Fabio Junior,2019-05-31 16:51:40,2019-05-30 21:38:18,1134212464739004416,1134502717362233345,, ,3225439870,980043477303091200, ,1559321500, ,True,Tweet,Twitter for iPhone,,,,,,,, ,,,,,,,,
Ei Bolsonaro e bolsominions  segurem essa #Marolinha30M daqui no Rio de Janeiro. Igualzinho os 2 carros de som e meia duzia de gatos pingados de Copacabana no domingo  né? #30MpelaEducacao #Tsunami30M #TsunamiDaEducacao https://t.co/Jc2jEo0FLt,769,0,179,thuliobenvenuti,Serenaacida,2019-05-31 16:49:26,2019-05-30 22:34:28,1134226599518396422,1134502153412890625,, ,1080900830625185792,32342128, ,1559321366, ,True,Tweet,Twitter for iPhone,,,,,,,, ,,,,,,,,
“Ei  polícia! Deixa eu te dizer! O Bolsonaro tá cagando pra você!” https://t.co/ocgJaOv1xH,330,0,180,malungorei,ZéG LULALIVREdaSilva🇧🇷🌎,2019-05-31 16:48:15,2019-05-30 18:52:43,1134170794148409345,1134501855793467394,, ,226411974,567789577, ,1559321295, ,True,Tweet,Twitter for Android,,,,,,,, ,,,,,,photo,http://pbs.twimg.com/ext_tw_video_thumb/1134170575377698816/pu/img/NlquK0W6d-eMq3mk.jpg,
Ei Bolsonaro e bolsominions  segurem essa #Marolinha30M daqui no Rio de Janeiro. Igualzinho os 2 carros de som e meia duzia de gatos pingados de Copacabana no domingo  né? #30MpelaEducacao #Tsunami30M #TsunamiDaEducacao https://t.co/Jc2jEo0FLt,769,0,47967,thuliobenvenuti,Turquim,2019-05-31 16:44:18,2019-05-30 22:34:28,1134226599518396422,1134500863265951756,, ,208112870,32342128, ,1559321058, ,True,Tweet,Twitter Web Client,,,,,,,, ,,,,,,,,
Ei Bolsonaro melhor JAIR se preparando...#30MpelaEducacao #Marolinha30M é o cu dos bolsominionsFiasco é esse (des)governo! https://t.co/mTilr3uMgR,26,0,364,dw_belfort,The Bosh men,2019-05-31 16:39:50,2019-05-31 01:00:13,1134263278278983680,1134499739486085120,, ,834556521178660865,3140701714, ,1559320790, ,True,Tweet,Twitter for Android,,,,,,,, ,,,,,,,,
imagina esse tanto de gente mandando um ei bolsonaro vai toma no cu https://t.co/0Qn2WoLz8K,60,0,623,bispo_mt,Dudinhaaa,2019-05-31 16:39:03,2019-05-30 20:31:58,1134195770909966341,1134499542102093825,, ,2898071361,885694122048331776, ,1559320743, ,True,Retweet,Twitter for Android,,,,1134113996536258561,MariliaMReal,2921763658,2019-05-30 15:07:02, ,,,,,,,,
JUNGKOOK COM A BANDEIRA ESCRITO ELE NÃO SKKWKEKWKWKSKSKWKKEKEKEJEJEJEJNDJDJ PUTA MERDA MEU SONHO SE REALIZOU SÓ FALTOU ELES GRITAR EI BOLSONARO VAI TOMAR NO CÚ https://t.co/muOFEh6yxp,6,0,4086,jeonflyy,... 𝒔𝒕𝒂𝒓,2019-05-31 16:36:19,2019-05-26 01:06:20,1132452875345506304,1134498853137408000,, ,1024751271906041863,1051794930102915073, ,1559320579, ,True,Tweet,Twitter for Android,,,,,,,, ,,,,,,,,
@SamTadeu Ei   @SamTadeu. Tu mesmo! Bolsonaro não disse o que tu escreveste. Faltaste  com honestidade à reportagem. Tu conheces alguém com 30 perfis? Sério?,0,1,144,,Humberto FAS,2019-05-31 16:36:13,,,1134498830832066560,, ,1107290492776136705,, ,1559320573, ,False,Reply,Twitter for Android,1134325899069755392,SamTadeu,56457949,,,,, ,,,,,,,,
Ei Bolsonaro e bolsominions  segurem essa #Marolinha30M daqui no Rio de Janeiro. Igualzinho os 2 carros de som e meia duzia de gatos pingados de Copacabana no domingo  né? #30MpelaEducacao #Tsunami30M #TsunamiDaEducacao https://t.co/Jc2jEo0FLt,769,0,1506,thuliobenvenuti,Albertino Ferreira,2019-05-31 16:31:16,2019-05-30 22:34:28,1134226599518396422,1134497583123116032,, ,111887189,32342128, ,1559320276, ,True,Tweet,Twitter for Android,,,,,,,, ,,,,,,,,
hj no bar  do nada todo mundo começou a gritar: ei bolsonaro vai tomar no cu,2,0,649,letbrambila,paranóica,2019-05-31 16:27:34,2019-05-31 05:14:14,1134327201753681920,1134496654181240832,, ,3001334400,255655720, ,1559320054, ,True,Tweet,Twitter for iPhone,,,,,,,, ,,,,,,,,
Ei Bolsonaro e bolsominions  segurem essa #Marolinha30M daqui no Rio de Janeiro. Igualzinho os 2 carros de som e meia duzia de gatos pingados de Copacabana no domingo  né? #30MpelaEducacao #Tsunami30M #TsunamiDaEducacao https://t.co/Jc2jEo0FLt,769,0,132,thuliobenvenuti,ɕɡ,2019-05-31 16:23:03,2019-05-30 22:34:28,1134226599518396422,1134495516753039361,, ,886642284195979264,32342128, ,1559319783, ,True,Tweet,Twitter for iPhone,,,,,,,, ,,,,,,,,
"meu novo passatempo favorito é prestar atenção nas pessoas falando sobre política enquanto almoço no ruhoje teve:""bolsonaro é um tanso mas a equipe (de ministros) dele é muito boa"" ahamm 👍""todos  todos  todos  todos os professores universitários são marxistas"" ei vem pro ctc",0,0,18,,Diogo,2019-05-31 16:22:47,,,1134495448302063616,, ,949104617446666241,, ,1559319767, ,False,Tweet,Twitter for Android,,,,,,,, ,,,,,,,,
"Você está de boa assistindo a tv   e passa o ao vivo das manifestações de hoje   você observa : uma bandeira vermelha gigantesca escrito CUT   umas placas escrito ""Lula Livre"" e todos gritando "" Ei Bolsonaro vai tomar no ..."" Mas não era manifestações pela Educação ? 🤔",122,0,573,KarlaAm29588988,👀 Só observando 👀,2019-05-31 16:21:37,2019-05-30 21:38:18,1134212464739004416,1134495156525240321,, ,1116794844750458885,980043477303091200, ,1559319697, ,True,Tweet,Twitter for iPhone,,,,,,,, ,,,,,,,,
Ei Bolsonaro e bolsominions  segurem essa #Marolinha30M daqui no Rio de Janeiro. Igualzinho os 2 carros de som e meia duzia de gatos pingados de Copacabana no domingo  né? #30MpelaEducacao #Tsunami30M #TsunamiDaEducacao https://t.co/Jc2jEo0FLt,769,0,1438,thuliobenvenuti,Carga horária 20 horas por semana; 4h/dia;,2019-05-31 16:19:11,2019-05-30 22:34:28,1134226599518396422,1134494543041191936,, ,768636913,32342128, ,1559319551, ,True,Tweet,Twitter for Android,,,,,,,, ,,,,,,,,
"Você está de boa assistindo a tv   e passa o ao vivo das manifestações de hoje   você observa : uma bandeira vermelha gigantesca escrito CUT   umas placas escrito ""Lula Livre"" e todos gritando "" Ei Bolsonaro vai tomar no ..."" Mas não era manifestações pela Educação ? 🤔",122,0,426,KarlaAm29588988,Marcelo Mendes,2019-05-31 16:12:05,2019-05-30 21:38:18,1134212464739004416,1134492756250910720,, ,725114956094558208,980043477303091200, ,1559319125, ,True,Tweet,Twitter for Android,,,,,,,, ,,,,,,,,
“Ei Bolsonaro  vai tomar no cu!” ao vivo em rede nacional: foi agente que pediu sim!!! #30MpelaEducação,163,0,801,diImabr,vih,2019-05-31 16:11:50,2019-05-30 21:31:27,1134210740594905093,1134492692073914369,, ,1086358205326901250,116820742, ,1559319110, ,True,Tweet,Twitter for Android,,,,,,,, ,,,,,,,,
Ei Bolsonaro e bolsominions  segurem essa #Marolinha30M daqui no Rio de Janeiro. Igualzinho os 2 carros de som e meia duzia de gatos pingados de Copacabana no domingo  né? #30MpelaEducacao #Tsunami30M #TsunamiDaEducacao https://t.co/Jc2jEo0FLt,769,0,276,thuliobenvenuti,vinicius souza,2019-05-31 16:10:18,2019-05-30 22:34:28,1134226599518396422,1134492308366417921,, ,310978815,32342128, ,1559319018, ,True,Tweet,Twitter Web App,,,,,,,, ,,,,,,,,
"Apareceu agora na TV o pessoal em Fortaleza gritando ""Ei Bolsonaro vai tomar no cu"" em rede nacional aovivaço!!!#30MpelaEducacao",50,0,1516,rafaelmartelo,Vivianfm,2019-05-31 16:09:11,2019-05-30 21:28:33,1134210007988408323,1134492025959702528,, ,1671731058,107833278, ,1559318951, ,True,Tweet,Twitter for Android,,,,,,,, ,,,,,,,,
